,area_name,education_category,tot_emp,pct_total ,h_mean,a_mean
0,Alabama,Doctoral or professional degree,44040,2.15,63.99,133110
1,Alabama,Master's degree,33390,1.63,40.55,84340
2,Alabama,Bachelor's degree,435260,21.2,42,87360
3,Alabama,Associate's degree,42560,2.07,25.71,53480
4,Alabama,Postsecondary nondegree award,148580,7.24,22.1,45970
5,Alabama,"Some college, no degree",38260,1.86,18.94,39390
6,Alabama,High school diploma or equivalent,841750,41,21.8,45350
7,Alabama,No formal educational credential,469240,22.86,14.5,30150
8,Alaska,Doctoral or professional degree,6830,2.19,83.06,172760
9,Alaska,Master's degree,6270,2.01,46.85,97460
10,Alaska,Bachelor's degree,74290,23.84,49.55,103060
11,Alaska,Associate's degree,7880,2.53,37.48,77960
12,Alaska,Postsecondary nondegree award,22660,7.27,33.17,68990
13,Alaska,"Some college, no degree",10310,3.31,23.43,48730
14,Alaska,High school diploma or equivalent,114850,36.86,28.58,59450
15,Alaska,No formal educational credential,68520,21.99,19.79,41160
16,Arizona,Doctoral or professional degree,74100,2.37,75.19,156400
17,Arizona,Master's degree,58040,1.85,41.92,87190
18,Arizona,Bachelor's degree,771890,24.66,46.86,97460
19,Arizona,Associate's degree,65400,2.09,31.19,64880
20,Arizona,Postsecondary nondegree award,187020,5.98,24.62,51200
21,Arizona,"Some college, no degree",76850,2.46,23.29,48440
22,Arizona,High school diploma or equivalent,1168320,37.33,24.52,51010
23,Arizona,No formal educational credential,728090,23.26,18.67,38830
24,Arkansas,Doctoral or professional degree,27160,2.14,59.34,123430
25,Arkansas,Master's degree,22960,1.81,39.06,81250
26,Arkansas,Bachelor's degree,271500,21.36,37.85,78720
27,Arkansas,Associate's degree,22580,1.78,28.29,58850
28,Arkansas,Postsecondary nondegree award,101990,8.02,21.76,45270
29,Arkansas,"Some college, no degree",26990,2.12,19.78,41140
30,Arkansas,High school diploma or equivalent,504610,39.69,21.13,43950
31,Arkansas,No formal educational credential,293520,23.09,15.28,31780
32,California,Doctoral or professional degree,475230,2.65,84.04,174790
33,California,Master's degree,330280,1.84,*,*
34,California,Bachelor's degree,4744120,26.44,61,126880
35,California,Associate's degree,360940,2.01,*,*
36,California,Postsecondary nondegree award,971100,5.41,29.07,60460
37,California,"Some college, no degree",482760,2.69,27.3,56790
38,California,High school diploma or equivalent,6409400,35.72,27.63,57460
39,California,No formal educational credential,4172070,23.25,20.43,42500
40,Colorado,Doctoral or professional degree,78060,2.76,72.4,150590
41,Colorado,Master's degree,49610,1.75,44.82,93220
42,Colorado,Bachelor's degree,808340,28.54,51.96,108070
43,Colorado,Associate's degree,59330,2.09,35.6,74050
44,Colorado,Postsecondary nondegree award,151850,5.36,27.18,56540
45,Colorado,"Some college, no degree",69030,2.44,25.46,52950
46,Colorado,High school diploma or equivalent,990680,34.98,27.95,58140
47,Colorado,No formal educational credential,625090,22.07,19.86,41310
48,Connecticut,Doctoral or professional degree,55670,3.35,82.58,171770
49,Connecticut,Master's degree,37760,2.27,50.4,104830
50,Connecticut,Bachelor's degree,452530,27.26,55.03,114450
51,Connecticut,Associate's degree,35920,2.16,33.41,69480
52,Connecticut,Postsecondary nondegree award,104670,6.3,26.92,56000
53,Connecticut,"Some college, no degree",50200,3.02,24.96,51910
54,Connecticut,High school diploma or equivalent,596190,35.91,26.76,55660
55,Connecticut,No formal educational credential,327390,19.72,19.06,39630
56,Delaware,Doctoral or professional degree,13590,2.9,79.15,164640
57,Delaware,Master's degree,10560,2.25,43.54,90570
58,Delaware,Bachelor's degree,118870,25.33,50.82,105710
59,Delaware,Associate's degree,11710,2.5,30.43,63300
