,area_name,h_mean,avg_wagegap(hr)_STEM_vs_state,a_mean,avg_wagegap(yr)_STEM_vs_state,tot_emp_STEM,STEM_percentage,year
0,Alabama,42.81,21.222077683279558,89040,44144.18829178845,109640,5.553726376147951,2019
1,Alaska,43.81,15.323030369926517,91120,31862.917152858812,20280,6.395660538017597,2019
2,Arizona,42.05,17.585005319501466,87460,36572.32366288662,186700,6.512465074420698,2019
3,Arkansas,36.49,15.977499958929542,75890,33232.04769101871,48470,3.9813704391253633,2019
4,California,54.5,25.063508796253682,113360,52133.20771009757,1312170,7.54884250736377,2019
5,Colorado,47.72,20.017739995295855,99250,41621.58507218619,236900,8.8445355405471,2019
6,Connecticut,48.11,18.153918683562548,100060,37761.641943426825,113350,6.8073989550177165,2019
7,Delaware,46.91,20.799351626466027,97580,43258.9205576455,30410,6.729364903739765,2019
8,District of Columbia,55.58,12.435606280493701,115610,25863.175353485087,71060,9.821564318392282,2019
9,Florida,40.18,17.236478073242704,83560,35844.25605949477,419550,4.770839374349702,2019
10,Georgia,43.3,19.463075498785738,90060,40484.699252659964,273300,6.1115508982839355,2019
11,Hawaii,40.57,14.169369482777615,84380,29475.728155339806,28310,4.454689934068701,2019
12,Idaho,39.03,17.467064194950222,81190,36336.38731503383,42820,5.888662742725122,2019
13,Illinois,44.34,17.84891476290207,92220,37128.75518190176,353120,5.860154204103037,2019
14,Indiana,39.14,16.672428188919508,81400,34663.09728697429,158680,5.162524522642166,2019
15,Iowa,38.78,16.03815575648448,80670,33363.90843320619,82490,5.323755864908646,2019
16,Kansas,38.32,15.972650594622543,79710,33221.978412616336,75630,5.431316787314719,2019
17,Kentucky,36.14,14.986581264167853,75170,31180.521376983503,79250,4.177869154937002,2019
18,Louisiana,37.67,16.440915944743622,78360,34210.97447904472,70830,3.6853195972840083,2019
19,Maine,38.96,15.665323396109105,81030,32586.155406842612,29860,4.8857110133023545,2019
20,Maryland,50.56,21.636139837097375,105160,44999.19263235838,258910,9.5857089966679,2019
21,Massachusetts,50.27,18.723177277298298,104550,38937.661535401305,328180,9.066647511907261,2019
22,Michigan,41.52,17.124610391254613,86370,35640.71133434464,314260,7.233963210971794,2019
23,Minnesota,44.24,17.39649370801729,92010,36171.29633936785,197930,6.871018693697603,2019
24,Mississippi,35.78,16.51426445563158,74430,34362.03885560322,38010,3.3688446130393164,2019
25,Missouri,39.43,16.452986339834293,82020,34234.65027068613,162680,5.767546736344266,2019
26,Montana,34.34,12.539100000000005,71420,26082.844444444447,24440,5.222222222222222,2019
27,Nebraska,38.14,14.957626471426824,79320,31104.31346991976,55290,5.630116899515294,2019
28,Nevada,39.21,16.518019358359425,81560,34367.51457621277,48970,3.516242065657581,2019
29,New Hampshire,46.67,20.758391775678295,97070,43174.12169937015,48950,7.4112766472868215,2019
30,New Jersey,52.05,23.237673357061606,108270,48334.73432894238,268310,6.563436441248058,2019
31,New Mexico,44.37,21.76247532085918,92300,45281.352404774334,50030,6.074772029092852,2019
32,New York,49.66,18.926133038187626,103300,39367.872325679564,502300,5.27460941848035,2019
33,North Carolina,43.32,20.003462340822672,90100,41598.21555573979,285380,6.394654465031964,2019
34,North Dakota,36.18,11.943712723658052,75250,24840.634762851463,19770,4.679068446464073,2019
35,Ohio,40.75,17.00933587504612,84770,35382.05135312247,325440,5.973820480673743,2019
36,Oklahoma,39.28,17.358522063324244,81700,36107.617828724055,87390,5.403149518668967,2019
37,Oregon,42.45,16.559937456056584,88300,34451.7483970491,130780,6.861994060424166,2019
38,Pennsylvania,42.81,18.148374709188545,89040,37734.709713822886,355020,6.015666964326563,2019
39,Rhode Island,46.2,18.70266346829894,96100,38906.79515281856,29780,6.15823648620704,2019
40,South Carolina,38.71,17.388459841443805,80520,36164.19571395361,104990,4.981093762602182,2019
41,South Dakota,33.29,12.666967751040858,69250,26353.774139674926,19930,4.687977795027403,2019
42,Tennessee,37.58,15.645184276409626,78170,32547.315798398115,143670,4.776723819783157,2019
43,Texas,46.09,21.837315705643867,95870,45424.236397129804,800350,6.438236051225947,2019
44,Utah,40.17,16.42913234844355,83560,34182.59723681236,111140,7.389332872358816,2019
45,Vermont,39.57,15.012237022526932,82310,31224.319294809007,16920,5.523996082272282,2019
46,Virginia,49.41,22.163250154043677,102770,46090.829618667776,351230,9.05519017626722,2019
47,Washington,53.0,23.212800383304558,110250,48292.04763583656,311800,9.395783047210946,2019
48,West Virginia,35.41,14.543840478564306,73640,30238.14955134596,28980,4.127617148554337,2019
49,Wisconsin,38.45,14.979571505722895,79970,31154.121391613386,169540,5.907214160032055,2019
50,Wyoming,36.58,12.665398404916953,76090,26353.587473476255,12060,4.41208751006073,2019
51,Guam,29.32,11.56833097595474,60980,24061.357850070723,2340,3.6775106082036775,2019
