area_name,STEM_group,tot_emp,h_mean,a_mean
Alabama,STEM,126800,48.15,100150
Alabama,nonSTEM,1926280,24.19,50320
Alaska,STEM,19920,47.59,98990
Alaska,nonSTEM,291690,32.64,67890
Arizona,STEM,214390,51.09,106260
Arizona,nonSTEM,2915330,28.78,59860
Arkansas,STEM,50450,40.91,85090
Arkansas,nonSTEM,1220870,23.97,49850
California,STEM,1461330,67.42,140220
California,nonSTEM,16484580,34.3,71350
Colorado,STEM,263300,56.81,118150
Colorado,nonSTEM,2568710,32.32,67230
Connecticut,STEM,113160,55.46,115350
Connecticut,nonSTEM,1547160,33.99,70700
Delaware,STEM,32560,55.22,114860
Delaware,nonSTEM,436720,29.97,62350
District of Columbia,STEM,76390,62.01,128980
District of Columbia,nonSTEM,625440,49.74,103450
Florida,STEM,514130,48.56,100990
Florida,nonSTEM,9054130,27.83,57890
Georgia,STEM,279440,50.51,105060
Georgia,nonSTEM,4478460,28.14,58520
Hawaii,STEM,29790,45.74,95140
Hawaii,nonSTEM,587180,30.53,63510
Idaho,STEM,46200,45.95,95580
Idaho,nonSTEM,776490,25.61,53260
Illinois,STEM,338750,51.8,107750
Illinois,nonSTEM,5672910,31.11,64700
Indiana,STEM,156810,44.01,91530
Indiana,nonSTEM,2999930,26.24,54580
Iowa,STEM,85660,44.22,91980
Iowa,nonSTEM,1459100,26.11,54310
Kansas,STEM,85200,46.28,96270
Kansas,nonSTEM,1326800,25.82,53700
Kentucky,STEM,82840,41.09,85460
Kentucky,nonSTEM,1880220,25.31,52640
Louisiana,STEM,68230,46.56,96850
Louisiana,nonSTEM,1783630,24.89,51770
Maine,STEM,33510,44.96,93530
Maine,nonSTEM,588240,27.93,58090
Maryland,STEM,259900,58.71,122120
Maryland,nonSTEM,2417530,32.89,68410
Massachusetts,STEM,356420,60.93,126730
Massachusetts,nonSTEM,3287030,36.2,75300
Michigan,STEM,320330,47.86,99540
Michigan,nonSTEM,4027630,27.65,57500
Minnesota,STEM,204300,50.89,105860
Minnesota,nonSTEM,2676800,30.63,63710
Mississippi,STEM,40360,38.78,80670
Mississippi,nonSTEM,1109590,22.29,46370
Missouri,STEM,157710,44.27,92070
Missouri,nonSTEM,2718690,26.72,55580
Montana,STEM,28220,41.44,86200
Montana,nonSTEM,473510,26.02,54110
Nebraska,STEM,62410,44.4,92360
Nebraska,nonSTEM,938450,26.83,55800
Nevada,STEM,58000,44.87,93340
Nevada,nonSTEM,1423820,27.64,57490
New Hampshire,STEM,51430,53.49,111270
New Hampshire,nonSTEM,623720,29.99,62390
New Jersey,STEM,303080,60.84,126550
New Jersey,nonSTEM,3899100,33.6,69890
New Mexico,STEM,59160,52.24,108650
New Mexico,nonSTEM,786420,25.8,53670
New York,STEM,534640,59.64,124060
New York,nonSTEM,8858190,36.48,75880
North Carolina,STEM,342620,52.43,109060
North Carolina,nonSTEM,4452420,26.89,55930
North Dakota,STEM,18710,41.7,86730
North Dakota,nonSTEM,398800,27.76,57750
Ohio,STEM,311770,47.05,97870
Ohio,nonSTEM,5157390,27.69,57590
Oklahoma,STEM,85360,43.73,90950
Oklahoma,nonSTEM,1578950,24.72,51420
Oregon,STEM,143190,52.42,109040
Oregon,nonSTEM,1799980,30.45,63340
Pennsylvania,STEM,361290,48.85,101610
Pennsylvania,nonSTEM,5587200,28.53,59350
Rhode Island,STEM,31960,53.77,111840
Rhode Island,nonSTEM,456260,30.5,63440
South Carolina,STEM,120820,45.22,94060
South Carolina,nonSTEM,2102120,24.98,51970
South Dakota,STEM,22860,40.22,83650
South Dakota,nonSTEM,421530,24.8,51580
Tennessee,STEM,161800,44.91,93420
Tennessee,nonSTEM,3057250,25.99,54050
Texas,STEM,946900,51.73,107600
Texas,nonSTEM,12611050,27.77,57760
Utah,STEM,130830,48.86,101630
Utah,nonSTEM,1547830,27.71,57650
Vermont,STEM,19020,47.3,98380
Vermont,nonSTEM,281740,29.03,60380
Virginia,STEM,371150,57.82,120270
Virginia,nonSTEM,3609980,31.19,64880
Washington,STEM,366060,63.06,131150
Washington,nonSTEM,3129440,34.58,71920
West Virginia,STEM,29620,42.89,89210
West Virginia,nonSTEM,659040,24.3,50540
Wisconsin,STEM,174390,44.2,91940
Wisconsin,nonSTEM,2711600,27.6,57410
Wyoming,STEM,12720,41.95,87250
Wyoming,nonSTEM,261030,27.17,56500
Guam,STEM,2610,31.49,65500
Guam,nonSTEM,62070,19.82,41230
Puerto Rico,STEM,36780,29.87,62140
Puerto Rico,nonSTEM,891460,15.85,32960
Virgin Islands,STEM,760,34.55,71860
Virgin Islands,nonSTEM,32940,24.1,50130
